 ,Folio,data_id,typ,name,rolle,anmerkung
UAKUG/NIM_142,27,,person,"Wagner, Wolfgang",regisseur:in,
UAKUG/NIM_142,27,,person,"Wagner, Wieland",regisseur:in,
UAKUG/NIM_142,27,,person,"Wagner, Richard",Komponist:in,
UAKUG/NIM_142,27,,person,"Pitz, Wilhelm",dirigent:in,
UAKUG/NIM_142,27,,person,"Wissner, Otto",bühnenbildner:in,
UAKUG/NIM_142,27,,person,"Eberhardt, Paul",Beleuchter:in,
UAKUG/NIM_142,27,,person,"Thiel, Fred",Kostümbildner:in,
UAKUG/NIM_142,27,,person,"Keilberth, Josef",dirigent:in,
UAKUG/NIM_142,27,,person,"Crampe, Fernand",bühnenbildner:in,
UAKUG/NIM_142,27,,person,"Simon, Théo",technische leitung,
UAKUG/NIM_142,27,,person,"Hirsch, Robert",veranstalter:in,
UAKUG/NIM_142,27,,person,"Pfeiffer, Anton",Publikum,
UAKUG/NIM_142,27,,person,"Pfeiffer, Elsa",Publikum,
UAKUG/NIM_142,27,,person,"Voioumaa, Väinö",Publikum,
UAKUG/NIM_142,27,,person,"Strachwitz von Gross-Zauche und Camminetz, Hyacinth ",Publikum,
UAKUG/NIM_142,27,,person,"Rogatchewsky, Joseph",Publikum,
UAKUG/NIM_142,27,,person,Kubon de Gauquier,Publikum,
UAKUG/NIM_142,27,,person,"Reding, Janine",Publikum,
UAKUG/NIM_142,27,,person,"Tinel, Paul",verfasser:in,
UAKUG/NIM_142,27,,ort,Brüssel,auffuehrungsort,
UAKUG/NIM_142,27,,ort,Bayreuth,erwähnt,
UAKUG/NIM_142,27,,institution,Bayreuther Festspiele,gastspiel,
UAKUG/NIM_142,27,,institution,Theatre Royale de la Monnaie,auffuehrungsort,
UAKUG/NIM_142,27,,institution,Syndicat d'Initiative de la ville de Bruxelles,veranstalter:in,
UAKUG/NIM_142,27,,werk,Tristan und Isolde,auftritt,
UAKUG/NIM_142,27,,person,"Elisabeth, Königin, Belgien",Publikum,
UAKUG/NIM_142,27,,rolle,Tristan,auftritt,
UAKUG/NIM_142,27,,rolle,König Marke,auftritt,
UAKUG/NIM_142,27,,rolle,Kurwenal,auftritt,
UAKUG/NIM_142,27,,rolle,Melot,auftritt,
UAKUG/NIM_142,27,,rolle,Hirte,auftritt,
UAKUG/NIM_142,27,,rolle,Seemann,auftritt,
UAKUG/NIM_142,27,,rolle,Isolde,auftritt,
UAKUG/NIM_142,27,,rolle,Brangäne,auftritt,
UAKUG/NIM_142,27,,"Rolle, Person","Tristan, Wolfgang Windgassen",auftritt,
UAKUG/NIM_142,27,,"Rolle, Person","König Marke, Josef, Greindl",auftritt,
UAKUG/NIM_142,27,,"Rolle, Person","Kurwenal, Gustav Neidlinger",auftritt,
UAKUG/NIM_142,27,,"Rolle, Person","Melot, Toni Blankenheim",auftritt,
UAKUG/NIM_142,27,,"Rolle, Person","Hirte, Gerhard Stolze",auftritt,
UAKUG/NIM_142,27,,"Rolle, Person","Matelot, Paul Kuën",auftritt,
UAKUG/NIM_142,27,,"Rolle, Person","Isolde, Martha Mödl",auftritt,
UAKUG/NIM_142,27,,"Rolle, Person","Brangäne, Ira Malaniuk",auftritt,
UAKUG/NIM_142,27,,person,"Appia, Adolphe",erwähnt,
UAKUG/NIM_142,27,,dokument,L'oeuvre d'art vivant,erwähnt,
UAKUG/NIM_142,28,,person,"Hirsch, Robert",verfasser:in,
UAKUG/NIM_142,28,,person,"Malaniuk, Ira",adressat:in,
UAKUG/NIM_142,28,,institution,Syndicat d'Initiative de la ville de Bruxelles,veranstalter:in,
UAKUG/NIM_142,28,,Datum,1954-12-01,Empfang,
UAKUG/NIM_142,28,,ort,Brüssel,Empfang,
UAKUG/NIM_142,28,,werk,Tristan und Isolde,Aufführung,
UAKUG/NIM_142,28,,ort,Theatre de la Monnaie,Empfang,
